sample,gene,expr,cell_line,time,series
SH_DMSO_ctrl_rep2_1,FOSL2,12.196009560399538,SK_N_SH,DMSO,SH_rep2
SH_control_batch1,FOSL2,12.194230337950131,SK_N_SH,DMSO,SH_batch1
SH_24h_batch1,FOSL2,11.417216890488298,SK_N_SH,24h,SH_batch1
SH_24h_rep1_1,FOSL2,11.624719934130045,SK_N_SH,24h,SH_rep1
SH_24h_rep2_1,FOSL2,11.637412194769881,SK_N_SH,24h,SH_rep2
SH_48h_batch1,FOSL2,11.29334174304026,SK_N_SH,48h,SH_batch1
SH_48h_rep1_1,FOSL2,11.571576640465965,SK_N_SH,48h,SH_rep1
SH_48h_rep2_1,FOSL2,11.568512077995626,SK_N_SH,48h,SH_rep2
CM_DMSO_ctrl_rep1_1,CCN2,12.202828506124582,CLBMa,DMSO,CM_rep1
CM_DMSO_ctrl_rep2_1,CCN2,11.743729968643565,CLBMa,DMSO,CM_rep2
CM_DMSO_ctrl_rep3,CCN2,11.68799454338808,CLBMa,DMSO,CM_rep3
CM_control_batch1,CCN2,12.239944208299422,CLBMa,DMSO,CM_batch1
CM_24h_batch1,CCN2,10.01840240364889,CLBMa,24h,CM_batch1
CM_24h_rep1_1,CCN2,9.968021826622662,CLBMa,24h,CM_rep1
CM_24h_rep2_1,CCN2,9.483829056232917,CLBMa,24h,CM_rep2
CM_24h_rep3,CCN2,9.563235024339523,CLBMa,24h,CM_rep3
CM_48h_batch1,CCN2,9.939492394476211,CLBMa,48h,CM_batch1
CM_48h_rep1_1,CCN2,9.7925760746236,CLBMa,48h,CM_rep1
CM_48h_rep3,CCN2,9.614276633336845,CLBMa,48h,CM_rep3
SH_DMSO_ctrl_rep1_1,CCN2,9.821154982407899,SK_N_SH,DMSO,SH_rep1
SH_DMSO_ctrl_rep2_1,CCN2,9.426083090007555,SK_N_SH,DMSO,SH_rep2
SH_control_batch1,CCN2,9.546181047774812,SK_N_SH,DMSO,SH_batch1
SH_24h_batch1,CCN2,7.590857288091061,SK_N_SH,24h,SH_batch1
SH_24h_rep1_1,CCN2,7.605374323396864,SK_N_SH,24h,SH_rep1
SH_24h_rep2_1,CCN2,7.114071136815182,SK_N_SH,24h,SH_rep2
SH_48h_batch1,CCN2,7.4264773834367945,SK_N_SH,48h,SH_batch1
SH_48h_rep1_1,CCN2,7.371399012551591,SK_N_SH,48h,SH_rep1
SH_48h_rep2_1,CCN2,7.048586848205926,SK_N_SH,48h,SH_rep2
CM_DMSO_ctrl_rep1_1,ANKRD1,14.416514524393401,CLBMa,DMSO,CM_rep1
CM_DMSO_ctrl_rep2_1,ANKRD1,13.853400300214778,CLBMa,DMSO,CM_rep2
CM_DMSO_ctrl_rep3,ANKRD1,14.001690077292785,CLBMa,DMSO,CM_rep3
CM_control_batch1,ANKRD1,14.104766930786816,CLBMa,DMSO,CM_batch1
CM_24h_batch1,ANKRD1,12.295318815749221,CLBMa,24h,CM_batch1
CM_24h_rep1_1,ANKRD1,11.9635179591226,CLBMa,24h,CM_rep1
CM_24h_rep2_1,ANKRD1,11.34607620552096,CLBMa,24h,CM_rep2
CM_24h_rep3,ANKRD1,11.626882539805846,CLBMa,24h,CM_rep3
CM_48h_batch1,ANKRD1,12.074723055525169,CLBMa,48h,CM_batch1
CM_48h_rep1_1,ANKRD1,11.361084568064456,CLBMa,48h,CM_rep1
CM_48h_rep3,ANKRD1,11.268870756058785,CLBMa,48h,CM_rep3
SH_DMSO_ctrl_rep1_1,ANKRD1,13.825081544541254,SK_N_SH,DMSO,SH_rep1
SH_DMSO_ctrl_rep2_1,ANKRD1,13.383530671291677,SK_N_SH,DMSO,SH_rep2
SH_control_batch1,ANKRD1,12.491763693039918,SK_N_SH,DMSO,SH_batch1
SH_24h_batch1,ANKRD1,9.501604932616305,SK_N_SH,24h,SH_batch1
SH_24h_rep1_1,ANKRD1,9.790450692143216,SK_N_SH,24h,SH_rep1
SH_24h_rep2_1,ANKRD1,9.316665973657608,SK_N_SH,24h,SH_rep2
