gene,sample,norm_count,cell_line,time
NOTCH1,SH_24h_batch1,1874.3957446606662,SK_N_SH,h24
NOTCH1,SH_24h_rep1_1,1157.963052580349,SK_N_SH,h24
NOTCH1,SH_24h_rep2_1,1228.4367386313784,SK_N_SH,h24
NOTCH1,SH_48h_batch1,1559.8606009366536,SK_N_SH,h48
NOTCH1,SH_48h_rep1_1,1116.9895039939292,SK_N_SH,h48
NOTCH1,SH_48h_rep2_1,1122.387488527107,SK_N_SH,h48
NOTCH2,CM_DMSO_ctrl_rep1_1,3880.880824899628,CLBMa,DMSO
NOTCH2,CM_DMSO_ctrl_rep2_1,3170.62246350279,CLBMa,DMSO
NOTCH2,CM_DMSO_ctrl_rep3,4151.26261576381,CLBMa,DMSO
NOTCH2,CM_control_batch1,7503.849886950673,CLBMa,DMSO
NOTCH2,CM_24h_batch1,6473.858750976234,CLBMa,h24
NOTCH2,CM_24h_rep1_1,3254.9946998305127,CLBMa,h24
NOTCH2,CM_24h_rep2_1,2671.3497331036788,CLBMa,h24
NOTCH2,CM_24h_rep3,4110.872090491699,CLBMa,h24
NOTCH2,CM_48h_batch1,6044.382388398269,CLBMa,h48
NOTCH2,CM_48h_rep1_1,2686.6899187763393,CLBMa,h48
NOTCH2,CM_48h_rep3,2680.5794090919835,CLBMa,h48
NOTCH2,SH_DMSO_ctrl_rep1_1,7096.835865903299,SK_N_SH,DMSO
NOTCH2,SH_DMSO_ctrl_rep2_1,6466.236996798863,SK_N_SH,DMSO
NOTCH2,SH_control_batch1,7603.5262540026615,SK_N_SH,DMSO
NOTCH2,SH_24h_batch1,6093.921557704373,SK_N_SH,h24
NOTCH2,SH_24h_rep1_1,6014.297573972147,SK_N_SH,h24
NOTCH2,SH_24h_rep2_1,5304.442431032129,SK_N_SH,h24
NOTCH2,SH_48h_batch1,5686.712429584724,SK_N_SH,h48
NOTCH2,SH_48h_rep1_1,4811.755036677366,SK_N_SH,h48
NOTCH2,SH_48h_rep2_1,5261.379420079482,SK_N_SH,h48
WWTR1,CM_DMSO_ctrl_rep1_1,1038.0956939031926,CLBMa,DMSO
WWTR1,CM_DMSO_ctrl_rep2_1,1030.421301200946,CLBMa,DMSO
WWTR1,CM_DMSO_ctrl_rep3,1251.3002554273046,CLBMa,DMSO
WWTR1,CM_control_batch1,1231.3957665498517,CLBMa,DMSO
WWTR1,CM_24h_batch1,1485.9656882966387,CLBMa,h24
WWTR1,CM_24h_rep1_1,1045.8423016917595,CLBMa,h24
WWTR1,CM_24h_rep2_1,1213.736670788865,CLBMa,h24
WWTR1,CM_24h_rep3,1209.7203867749488,CLBMa,h24
WWTR1,CM_48h_batch1,1428.7027733704736,CLBMa,h48
WWTR1,CM_48h_rep1_1,1544.6454028529304,CLBMa,h48
WWTR1,CM_48h_rep3,1390.927144363846,CLBMa,h48
WWTR1,SH_DMSO_ctrl_rep1_1,1790.0299381514055,SK_N_SH,DMSO
WWTR1,SH_DMSO_ctrl_rep2_1,1575.8056546820758,SK_N_SH,DMSO
WWTR1,SH_control_batch1,1655.6626243848432,SK_N_SH,DMSO
WWTR1,SH_24h_batch1,1642.3502967773584,SK_N_SH,h24
WWTR1,SH_24h_rep1_1,1371.2720359504135,SK_N_SH,h24
WWTR1,SH_24h_rep2_1,1195.8787822558272,SK_N_SH,h24
WWTR1,SH_48h_batch1,1317.5135862097873,SK_N_SH,h48
WWTR1,SH_48h_rep1_1,1034.1975683963892,SK_N_SH,h48
WWTR1,SH_48h_rep2_1,1310.4550971945177,SK_N_SH,h48
YAP1,CM_DMSO_ctrl_rep1_1,6348.354435792601,CLBMa,DMSO
YAP1,CM_DMSO_ctrl_rep2_1,5509.220025554516,CLBMa,DMSO
YAP1,CM_DMSO_ctrl_rep3,6275.200658288612,CLBMa,DMSO
YAP1,CM_control_batch1,5217.847953529911,CLBMa,DMSO
YAP1,CM_24h_batch1,5610.144136461083,CLBMa,h24
YAP1,CM_24h_rep1_1,7156.693818098442,CLBMa,h24
YAP1,CM_24h_rep2_1,6126.265279721285,CLBMa,h24
YAP1,CM_24h_rep3,6764.36450242775,CLBMa,h24
YAP1,CM_48h_batch1,5087.616741421651,CLBMa,h48
YAP1,CM_48h_rep1_1,6084.641404461499,CLBMa,h48
YAP1,CM_48h_rep3,6123.925316706076,CLBMa,h48
YAP1,SH_DMSO_ctrl_rep1_1,1610.7255924948254,SK_N_SH,DMSO
YAP1,SH_DMSO_ctrl_rep2_1,1532.9071341371919,SK_N_SH,DMSO
YAP1,SH_control_batch1,1790.619997969154,SK_N_SH,DMSO
YAP1,SH_24h_batch1,1895.7496202327495,SK_N_SH,h24
YAP1,SH_24h_rep1_1,1714.5979234698502,SK_N_SH,h24
YAP1,SH_24h_rep2_1,1705.5360224423418,SK_N_SH,h24
YAP1,SH_48h_batch1,1995.3899696158783,SK_N_SH,h48
YAP1,SH_48h_rep1_1,1467.8027904241835,SK_N_SH,h48
YAP1,SH_48h_rep2_1,1487.9909197765535,SK_N_SH,h48
