group,replicate,fastq_1,fastq_2,control
SK-N-SH-A_TAZ,2,./fastqs/MZ-SS-CR-519-SK-N-SH-A-TAZ-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-519-SK-N-SH-A-TAZ-rep2_R2_001.fastq.gz,SK-N-SH-A_IgG
SK-N-SH-A_YAP,2,./fastqs/MZ-SS-CR-518-SK-N-SH-A-YAP-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-518-SK-N-SH-A-YAP-rep2_R2_001.fastq.gz,SK-N-SH-A_IgG
CLB-Ma-M_YAP,2,./fastqs/MZ-SS-CR-497-CLB-Ma-M-YAP-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-497-CLB-Ma-M-YAP-rep2_R2_001.fastq.gz,CLB-Ma-M_IgG
CLB-Ma-A_IgG,2,./fastqs/MZ-SS-CR-503-CLB-Ma-A-IgG-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-503-CLB-Ma-A-IgG-rep2_R2_001.fastq.gz,
CLB-Ma-M_IgG,2,./fastqs/MZ-SS-CR-496-CLB-Ma-M-IgG-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-496-CLB-Ma-M-IgG-rep2_R2_001.fastq.gz,
SK-N-SH-A_H3K4me1,2,./fastqs/MZ-SS-CR-491-SK-N-SH-A-H3K4me1-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-491-SK-N-SH-A-H3K4me1-rep2_R2_001.fastq.gz,SK-N-SH-A_IgG
CLB-Ma-A_H3K4me1,2,./fastqs/MZ-SS-CR-481-CLB-Ma-A-H3K4me1-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-481-CLB-Ma-A-H3K4me1-rep2_R2_001.fastq.gz,CLB-Ma-A_IgG
SK-N-SH-M_H3K4me1,2,./fastqs/MZ-SS-CR-486-SK-N-SH-M-H3K4me1-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-486-SK-N-SH-M-H3K4me1-rep2_R2_001.fastq.gz,SK-N-SH-M_IgG
CLB-Ma-A_H3K27ac,2,./fastqs/MZ-SS-CR-480-CLB-Ma-A-H3K27ac-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-480-CLB-Ma-A-H3K27ac-rep2_R2_001.fastq.gz,CLB-Ma-A_IgG
SK-N-SH-M_TAZ,2,./fastqs/MZ-SS-CR-512-SK-N-SH-M-TAZ-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-512-SK-N-SH-M-TAZ-rep2_R2_001.fastq.gz,SK-N-SH-M_IgG
CLB-Ma-M_FRA1,2,./fastqs/MZ-SS-CR-500-CLB-Ma-M-FRA1-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-500-CLB-Ma-M-FRA1-rep2_R2_001.fastq.gz,CLB-Ma-M_IgG
CLB-Ma-M_H3K4me1,2,./fastqs/MZ-SS-CR-476-CLB-Ma-M-H3K4me1-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-476-CLB-Ma-M-H3K4me1-rep2_R2_001.fastq.gz,CLB-Ma-M_IgG
SK-N-SH-A_FRA1,2,./fastqs/MZ-SS-CR-521-SK-N-SH-A-FRA1-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-521-SK-N-SH-A-FRA1-rep2_R2_001.fastq.gz,SK-N-SH-A_IgG
SK-N-SH-M_YAP,2,./fastqs/MZ-SS-CR-511-SK-N-SH-M-YAP-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-511-SK-N-SH-M-YAP-rep2_R2_001.fastq.gz,SK-N-SH-M_IgG
