gs_id	gene_id
K975_48h_down	112849
K975_48h_up	51309
K975_48h_up	59353
K975_48h_up	55906
K975_48h_down	117177
K975_48h_down	5787
K975_48h_up	3425
K975_48h_up	84286
K975_48h_down	55504
K975_48h_down	2770
K975_48h_up	65997
K975_48h_down	10606
K975_48h_down	5471
K975_48h_down	11135
K975_48h_down	3976
K975_48h_up	7732
K975_48h_down	51200
K975_48h_down	2318
K975_48h_down	8520
K975_48h_up	146057
K975_48h_down	90417
K975_48h_up	3671
K975_48h_down	60559
K975_48h_down	54478
K975_48h_down	10053
K975_48h_down	84962
K975_48h_down	6397
K975_48h_up	1028
K975_48h_up	25759
K975_48h_up	79948
K975_48h_up	9754
K975_48h_up	6303
K975_48h_down	23677
K975_48h_up	348
K975_48h_down	10452
K975_48h_up	376497
K975_48h_up	4298
K975_48h_down	81
K975_48h_up	80726
K975_48h_up	54795
K975_48h_up	140685
K975_48h_up	50632
K975_48h_up	375775
K975_48h_up	3911
K975_48h_down	23404
K975_48h_down	6249
K975_48h_down	1736
K975_48h_down	25926
K975_48h_up	23199
K975_48h_down	51659
K975_48h_up	6451
K975_48h_down	10487
K975_48h_down	93323
K975_48h_down	7283
K975_48h_down	10197
K975_48h_up	3597
K975_48h_down	3885
K975_48h_up	10742
K975_48h_down	6627
K975_48h_down	85415
K975_48h_down	23225
K975_48h_down	51540
K975_48h_down	5901
K975_48h_up	23108
K975_48h_down	23277
K975_48h_down	10514
K975_48h_up	5176
K975_48h_down	1984
K975_48h_up	23135
K975_48h_up	157680
K975_48h_down	4147
K975_48h_down	51388
K975_48h_down	114034
K975_48h_up	84327
K975_48h_up	842
K975_48h_up	51761
K975_48h_up	23281
K975_48h_down	5983
K975_48h_down	90627
K975_48h_up	201266
K975_48h_up	114904
K975_48h_up	694
K975_48h_down	23075
K975_48h_down	9645
K975_48h_down	22800
K975_48h_up	79845
K975_48h_up	80017
K975_48h_up	57578
K975_48h_up	23508
K975_48h_down	1965
K975_48h_down	4017
K975_48h_down	9811
K975_48h_down	8932
K975_48h_down	891
K975_48h_down	1022
K975_48h_down	84722
K975_48h_down	4803
K975_48h_up	129607
K975_48h_down	3939
K975_48h_down	1794
K975_48h_up	6660
K975_48h_up	4038
K975_48h_up	9363
K975_48h_down	8565
K975_48h_down	55143
K975_48h_down	2113
K975_48h_up	9315
K975_48h_down	301
K975_48h_down	29968
K975_48h_down	8728
K975_48h_up	51347
K975_48h_up	6926
K975_48h_up	112609
K975_48h_down	79899
K975_48h_up	51317
K975_48h_up	5630
K975_48h_up	116986
K975_48h_down	10024
K975_48h_down	9700
K975_48h_up	91
K975_48h_down	84946
K975_48h_down	8676
K975_48h_down	10200
K975_48h_down	9816
K975_48h_down	55619
K975_48h_up	3357
K975_48h_down	5270
K975_48h_up	80210
K975_48h_up	10154
K975_48h_down	2317
K975_48h_down	26586
K975_48h_down	4008
K975_48h_down	55270
K975_48h_up	1607
K975_48h_down	6426
K975_48h_up	6332
K975_48h_down	92856
K975_48h_down	9394
K975_48h_down	10592
K975_48h_up	7111
K975_48h_up	29988
K975_48h_up	23452
K975_48h_up	7539
K975_48h_up	84253
K975_48h_down	4609
K975_48h_up	90865
K975_48h_down	64425
K975_48h_up	3590
K975_48h_up	51754
K975_48h_down	219
K975_48h_up	89953
K975_48h_down	8870
K975_48h_up	4647
K975_48h_up	11309
K975_48h_up	4926
K975_48h_down	84259
K975_48h_down	7057
K975_48h_down	9493
K975_48h_down	55142
K975_48h_up	64220
K975_48h_up	80031
K975_48h_down	8412
K975_48h_down	105378858
K975_48h_down	9411
K975_48h_up	204962
K975_48h_down	87178
K975_48h_down	79172
K975_48h_down	57559
K975_48h_down	1847
K975_48h_down	55165
K975_48h_down	9585
K975_48h_down	22891
K975_48h_down	316
K975_48h_down	54529
K975_48h_down	6741
K975_48h_up	150864
K975_48h_up	30061
K975_48h_up	8483
K975_48h_down	2247
K975_48h_down	55212
K975_48h_down	5910
K975_48h_down	8654
K975_48h_down	55589
K975_48h_down	55752
K975_48h_up	901
K975_48h_down	57619
K975_48h_down	306
K975_48h_up	5530
K975_48h_down	2201
K975_48h_up	23710
K975_48h_down	51067
K975_48h_up	144165
K975_48h_up	9746
K975_48h_up	10219
K975_48h_down	6636
K975_48h_up	84915
K975_48h_down	6541
K975_48h_up	7786
K975_48h_up	55716
K975_48h_down	283373
K975_48h_down	81624
K975_48h_down	122786
K975_48h_down	112840
K975_48h_up	7090
K975_48h_up	79661
K975_48h_down	7168
K975_48h_up	170691
K975_48h_up	4916
K975_48h_up	8128
K975_48h_down	3801
K975_48h_up	283927
K975_48h_up	123920
K975_48h_down	84916
K975_48h_down	55275
K975_48h_up	54828
K975_48h_up	80816
K975_48h_up	64762
