"gene","PeakId","Annotation","Distance.to.TSS","log2FoldChange","padj","contrast"
"MAML2","Interval_88772","intron (ENSG00000184384, intron 1 of 4)",-65333,0.016022441049202,0.946340898431822,"48h_vs_control"
"MAML2","Interval_88765","intron (ENSG00000184384, intron 1 of 4)",-98102,0.0270438760967471,0.948581499026561,"48h_vs_control"
"MAML2","Interval_88708","intron (ENSG00000184384, intron 1 of 3)",-29789,-0.0200227277871005,0.952582129660019,"48h_vs_control"
"MAML2","Interval_88776","intron (ENSG00000184384, intron 1 of 4)",-48022,0.0207698446753282,0.952755589434556,"48h_vs_control"
"MAML2","Interval_88704","intron (ENSG00000184384, intron 1 of 3)",-45924,-0.021495353060092,0.954858424242945,"48h_vs_control"
"NOTCH2","Interval_22363","intron (ENSG00000134250, intron 16 of 33)",-52470,0.0228929276086122,0.955934033597662,"48h_vs_control"
"NOTCH1","Interval_491611","intron (ENSG00000148400, intron 2 of 33)",-8239,-0.0116304448730053,0.959318001251029,"48h_vs_control"
"MAML2","Interval_88734","intron (ENSG00000184384, intron 1 of 4)",-41170,-0.0150661732197448,0.965292698853873,"48h_vs_control"
"MAML2","Interval_88779","intron (ENSG00000184384, intron 1 of 4)",-38104,-0.0110119871437502,0.971692615498378,"48h_vs_control"
"MAML2","Interval_88703","intron (ENSG00000184384, intron 1 of 3)",-54707,-0.0106703665405024,0.972074605006278,"48h_vs_control"
"MAML2","Interval_88717","exon (ENSG00000184384, exon 2 of 5)",567,0.0102786835040804,0.975979323689207,"48h_vs_control"
"MAML2","Interval_88756","intron (ENSG00000184384, intron 1 of 4)",-120017,-0.0144556492951813,0.977604982754828,"48h_vs_control"
"NOTCH2","Interval_22371","exon (ENSG00000134250, exon 7 of 34)",-71673,0.00962528707387928,0.978407396830069,"48h_vs_control"
"MAML2","Interval_88788","intron (ENSG00000184384, intron 1 of 4)",-8941,-0.0106032215056162,0.982678810490584,"48h_vs_control"
"MAML2","Interval_88770","intron (ENSG00000184384, intron 1 of 4)",-73677,0.00589895532592504,0.988522211633252,"48h_vs_control"
"MAML2","Interval_88695","intron (ENSG00000184384, intron 1 of 3)",53163,0.0044987785831631,0.989800701846662,"48h_vs_control"
"MAML2","Interval_88773","intron (ENSG00000184384, intron 1 of 4)",-62484,-0.00654256162214072,0.990837879720995,"48h_vs_control"
"MAML2","Interval_88753","intron (ENSG00000184384, intron 1 of 4)",-112061,-0.00321364025323393,0.992339444221803,"48h_vs_control"
"MAML2","Interval_88693","intron (ENSG00000184384, intron 1 of 3)",50472,-0.00366594685953097,0.992765222620993,"48h_vs_control"
"MAML2","Interval_88719","intron (ENSG00000184384, intron 1 of 4)",-2823,-0.00117140376950143,0.99847360767806,"48h_vs_control"
"MAML2","Interval_88715","intron (ENSG00000184384, intron 1 of 3)",-3129,7.58178348123566e-05,0.999928332022404,"48h_vs_control"
"NOTCH2","Interval_22367","intron (ENSG00000134250, intron 8 of 11)",-64397,0.0134175620355866,NA,"48h_vs_control"
"NOTCH2","Interval_22368","intron (ENSG00000134250, intron 8 of 11)",-65664,-0.00110994940613027,NA,"48h_vs_control"
"NOTCH2","Interval_22372","intron (ENSG00000134250, intron 5 of 14)",-79400,-0.0182814541946424,NA,"48h_vs_control"
"NOTCH2","Interval_22377","intron (ENSG00000134250, intron 1 of 13)",59053,-0.0927132476202584,NA,"48h_vs_control"
"MAML2","Interval_88691","intron (ENSG00000184384, intron 1 of 3)",45222,0.0275941597810578,NA,"48h_vs_control"
"MAML2","Interval_88701","intron (ENSG00000184384, intron 1 of 3)",-58090,0.0182115027932929,NA,"48h_vs_control"
"MAML2","Interval_88725","intron (ENSG00000184384, intron 1 of 4)",-14167,-0.0516509145762471,NA,"48h_vs_control"
"MAML2","Interval_88733","intron (ENSG00000184384, intron 1 of 4)",-39031,0.0135065996196975,NA,"48h_vs_control"
"MAML2","Interval_88749","intron (ENSG00000184384, intron 1 of 4)",-100668,0.0116754715174913,NA,"48h_vs_control"
"MAML2","Interval_88752","intron (ENSG00000184384, intron 1 of 4)",-111348,-0.00560239428297175,NA,"48h_vs_control"
"MAML2","Interval_88766","intron (ENSG00000184384, intron 1 of 4)",-87258,0.0248283846352745,NA,"48h_vs_control"
"MAML2","Interval_88783","intron (ENSG00000184384, intron 1 of 4)",-24361,-0.0738135018385219,NA,"48h_vs_control"
"NOTCH1","Interval_491614","intron (ENSG00000148400, intron 2 of 33)",-7742,0.12837206692464,NA,"48h_vs_control"
"NOTCH1","Interval_491617","intron (ENSG00000148400, intron 2 of 33)",-5826,0.0460602496428907,NA,"48h_vs_control"
"MAML2","Interval_88786","intron (ENSG00000184384, intron 1 of 4)",-16284,-0.672374062628391,0.0162774191513552,"24h_vs_control"
"MAML2","Interval_88686","intron (ENSG00000184384, intron 2 of 3)",28284,-0.936351933691972,0.0437289866222718,"24h_vs_control"
"MAML2","Interval_88769","intron (ENSG00000184384, intron 1 of 4)",-76741,-0.340763053202395,0.189624173205167,"24h_vs_control"
"MAML2","Interval_88751","intron (ENSG00000184384, intron 1 of 4)",-106672,-0.0417298299274081,0.288683262126826,"24h_vs_control"
"MAML2","Interval_88782","intron (ENSG00000184384, intron 1 of 4)",-26875,-0.0260491881631031,0.506536644379934,"24h_vs_control"
"MAML2","Interval_88761","intron (ENSG00000184384, intron 1 of 4)",-112462,-0.0432687208344869,0.693142723605772,"24h_vs_control"
"MAML2","Interval_88740","intron (ENSG00000184384, intron 1 of 4)",-61378,-0.0288422434591567,0.707921964066306,"24h_vs_control"
"NOTCH2","Interval_22375","promoter-TSS (ENSG00000134250)",81960,-0.0307396729181577,0.767964748048335,"24h_vs_control"
"MAML2","Interval_88748","intron (ENSG00000184384, intron 1 of 4)",-94920,-0.0292902168987886,0.798281697026596,"24h_vs_control"
"NOTCH2","Interval_22381","intron (ENSG00000134250, intron 3 of 3)",14371,-0.0134523848183027,0.907628350353956,"24h_vs_control"
"MAML2","Interval_88755","intron (ENSG00000184384, intron 1 of 4)",-119091,-0.0130301692402471,0.959706639217971,"24h_vs_control"
"MAML2","Interval_88703","intron (ENSG00000184384, intron 1 of 3)",-54707,-0.0102684716115431,0.968123660159893,"24h_vs_control"
"MAML2","Interval_88789","intron (ENSG00000184384, intron 1 of 4)",-3266,0.0167080185043516,0.968782888704431,"24h_vs_control"
"MAML2","Interval_88741","intron (ENSG00000184384, intron 1 of 4)",-62988,-0.0214012765903924,0.975392826655628,"24h_vs_control"
"MAML2","Interval_88730","intron (ENSG00000184384, intron 1 of 4)",-33858,0.0114542930894627,0.983651009883327,"24h_vs_control"
"MAML2","Interval_88721","intron (ENSG00000184384, intron 1 of 4)",-5147,-0.0180061240775147,0.998336061976538,"24h_vs_control"
"MAML2","Interval_88727","intron (ENSG00000184384, intron 1 of 4)",-21236,-0.0105695327488674,0.998336061976538,"24h_vs_control"
"MAML2","Interval_88781","intron (ENSG00000184384, intron 1 of 4)",-30064,-0.0160569199173323,0.998336061976538,"24h_vs_control"
"NOTCH2","Interval_22363","intron (ENSG00000134250, intron 16 of 33)",-52470,-0.0077937971987576,0.999984913578322,"24h_vs_control"
"NOTCH2","Interval_22369","intron (ENSG00000134250, intron 7 of 11)",-68640,0.00322067372990423,0.999984913578322,"24h_vs_control"
"NOTCH2","Interval_22371","exon (ENSG00000134250, exon 7 of 34)",-71673,0.00544882733355687,0.999984913578322,"24h_vs_control"
