"SampleID","Tissue","Factor","Condition","Treatment","Replicate","bamReads","ControlID","bamControl","Peaks","PeakCaller","PeakSummits","Peaks_count"
"CLB-Ma-M_YAP_R1","CLB-Ma","YAP","MES","batch1",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-M_YAP_R1.target.markdup.sorted.bam","CLB-Ma-M_IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-M_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-M_YAP_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-M_YAP_R1.macs2_summits.bed",17108
"CLB-Ma-M_YAP_R2","CLB-Ma","YAP","MES","batch1",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-M_YAP_R2.target.markdup.sorted.bam","CLB-Ma-M_IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-M_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-M_YAP_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-M_YAP_R2.macs2_summits.bed",7347
"CLB-MA-MES-H3K27ac_R1","CLB-Ma","H3K27ac","MES","batch2",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-MA-MES-H3K27ac_R1.target.markdup.sorted.bam","CLB-MA-MES-IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-MA-MES-IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-MA-MES-H3K27ac_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-MA-MES-H3K27ac_R1.macs2_summits.bed",64426
"CLB-MA-MES-H3K27ac_R2","CLB-Ma","H3K27ac","MES","batch2",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-MA-MES-H3K27ac_R2.target.markdup.sorted.bam","CLB-MA-MES-IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-MA-MES-IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-MA-MES-H3K27ac_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-MA-MES-H3K27ac_R2.macs2_summits.bed",83126
"CLB-MA-MES-H3K4me1_R1","CLB-Ma","H3K4me1","MES","batch2",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-MA-MES-H3K4me1_R1.target.markdup.sorted.bam","CLB-MA-MES-IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-MA-MES-IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-MA-MES-H3K4me1_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-MA-MES-H3K4me1_R1.macs2_summits.bed",103856
"CLB-MA-MES-H3K4me1_R2","CLB-Ma","H3K4me1","MES","batch2",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-MA-MES-H3K4me1_R2.target.markdup.sorted.bam","CLB-MA-MES-IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-MA-MES-IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-MA-MES-H3K4me1_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-MA-MES-H3K4me1_R2.macs2_summits.bed",179694
"CLB-MA-MES-Jun_R1","CLB-Ma","Jun","MES","batch2",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-MA-MES-Jun_R1.target.markdup.sorted.bam","CLB-MA-MES-IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-MA-MES-IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-MA-MES-Jun_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-MA-MES-Jun_R1.macs2_summits.bed",51372
"CLB-MA-MES-Jun_R2","CLB-Ma","Jun","MES","batch2",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-MA-MES-Jun_R2.target.markdup.sorted.bam","CLB-MA-MES-IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-MA-MES-IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-MA-MES-Jun_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-MA-MES-Jun_R2.macs2_summits.bed",58943
"CLB-MA-MES-TAZ_R1","CLB-Ma","TAZ","MES","batch2",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-MA-MES-TAZ_R1.target.markdup.sorted.bam","CLB-MA-MES-IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-MA-MES-IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-MA-MES-TAZ_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-MA-MES-TAZ_R1.macs2_summits.bed",32096
"CLB-MA-MES-TAZ_R2","CLB-Ma","TAZ","MES","batch2",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-MA-MES-TAZ_R2.target.markdup.sorted.bam","CLB-MA-MES-IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-MA-MES-IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-MA-MES-TAZ_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-MA-MES-TAZ_R2.macs2_summits.bed",57461
